operator,operator_address,date_established,families_served,Longtitude,Latitude
Silangan Lias MPC,"Brgy. Silangan Lias, Barlig, Mountain Province",2/10/2010,-,121.13845,17.14557
Eastern Bontoc National Agricultural and Vocational High School (EBNAVHS) Teachers and Employees Consumers Cooperative ,"Brgy. Lingoy, Barlig, Mountain Province",2/10/2010,30,121.09288,17.05371
Saint Williams MPC,"Brgy. Butigue, Paracelis, Mountain Province",3/12/2012,-,121.43899,17.10943
Silangan Lias MPC,"Brgy. Silangan Lias, Barlig, Mountain Province",2/10/2010,350,121.13845,17.14557
BLGU/Bansa Balicog FarmersÍ Association,"Monamon Norte, Bauko, Mountain Province",9/21/2011,500,120.88858,16.90742
Bacdangan MPC,"Brgy. Sinto, Bauko, Mountain Province",4/17/2012,-,120.86553,16.85567
"Zumayngan Indigenous Farmers Association and Development, Inc.","Brgy. Talubin, Bontoc, Mountain Province",7/1/2011,450,120.9955,17.06024
Kapangan Central Consumers Cooperative ,"Central, Kapangan, Benguet",12/17/2009,337,120.59687,16.57519
Sagubo MPC,"Sitio Landing, Brgy. Sagubo, Kapangan, Benguet",12/17/2009,319,120.55141,16.59774
Gadang ARC MPC,"Keyang, Gadang, kapangan, Benguet",9/16/2008,312,120.58175,16.59553
San Ramon MPC,"Brgy. San Ramon West, Manabo, Abra",3/1/2009,3910,120.66919,17.39829
Green Gold RIC,"Twin Peaks, Tuba, Benguet",1/27/2010,1799,120.57201,16.2782
Pagala West WomenÍs Association,"Brgy. Pagala, Bucay, Abra",12/27/2011,350,120.70312,17.57332
Kayabang MPC,"Monglo, Bayabas, Sablan, Benguet",1/27/2010,135,120.50109,16.47754
MLGU,"Brgy. Cabaruan, Danglas, Abra",7/10/2008,200,120.66915,17.70552
Timpuyog Ti  Inna RIC,"Brgy. Salnec, Bucay, Abra",4/12/2012,-,120.64271,17.50818
Brgy. Banengbeng Bagsakan Consumers Cooperative,"Brgy. Banengbeng, Sablan, Benguet",1/1/2010,210,120.55967,16.494
Luba WomenÍs Federation for Peace and Development,"Poblacion, Luba, Abra",6/9/2010,1196,120.7167,17.2878
LGU,"Brgy. Poblacion, Natonin, Mountain Province",2/19/2009,1316,121.40226,17.21708
Gusaran MPC,"Gusaran, Kabayan, Benguet",12/1/2010,288,120.83128,16.65253
BLGU,"Brgy. Alunogan, Natonin, Mountain Province",2/15/2012,425,121.26861,17.07822
LGU-Adaoay,"Kinejang, Adaoay, Kabayan, Benguet",12/2/2010,130,120.83428,16.57599
Tubo CLC-ARB MPC,"Brgy. Supo, Tubo, Abra",6/16/2010,4353,120.6832,17.26125
